"FM","TR","PM","SZ","AD","INN","DV","RW"
0.393922617270128,2.5,0.39654992807078,-0.769585670980969,0.649642315334016,3,0.789459525275739,0.0338739872888918
0.732173954838953,2.02606232076186,0.63951778782951,-0.81724557062022,0.599438583015587,2,0.502360458858726,0.0482070749703111
0.865369223116748,1.93520673193981,1.44443475923428,0.997774682218276,0.659452233288219,3,0.820412350030682,0.0945030524959598
0.922308459676726,1.37609033197193,0.142036365947502,-1.28975770176553,0.79785877742441,5,0.535539548216594,0.0419325629697963
0.852725667793334,1.73436640728501,0.100801582473422,0.50461254670083,0.804690026481395,2,0.720897985583684,0.045674039981919
0.679412687410111,2.4733696666272,-0.609660786431964,0.424580092499785,0.874880188527809,6,0.596181471524363,0.0493212161433149
0.768556527160327,1.4378538476827,-0.20378368488934,0.436372819477642,0.8488818277961,6,0.578929320232506,0.05046213284042
0.751457878686334,1.61207613893635,-0.869400238140869,-0.53321252400047,0.820902109830805,3,0.574950627535122,0.0449879629187471
0.682904234986555,1.40093033159119,0.032765732048079,-1.19812768146365,0.767877689709266,5,0.764014625863828,0.0379138560102269
0.714191741448359,1.12283441772565,1.73770487509134,0.514803203003525,0.620191398291264,2,0.926835244114103,0.0964751829600162
0.729812903281833,1.28313859107884,1.78360529223434,1.63369753241594,0.581054984987784,7,0.914223776244581,0.0995625273830885
0.577310839779218,2.5,-0.309422484988619,-0.275334183230302,0.721034486697496,4,0.780675031784725,0.0318270863216517
0.664097467077578,2.5,-0.135570609636742,-0.458648360691313,0.845346080882356,1,0.641319138358624,0.0426693216195795
0.812733012285569,1.2534838276283,0.219031812306331,-0.831856316071655,0.808870405016598,4,0.821666126996714,0.0529562438319014
0.717970839361506,1.35364580241209,-1.38960173397594,1.45226364318222,0.888270027468119,5,0.670147535522822,0.0459599928460333
0.548339122158646,2.08916230174473,-0.143459552790526,1.0620326962352,0.783373455473328,7,0.760363435051612,0.0380488301714857
0.499347129647991,2.5,1.40673376081349,0.6733046262885,0.679714168616151,3,0.743778455662464,0.0430529256846478
0.934785986665545,1.75641055438096,0.0251447874592701,1.11042676123849,0.896676204685237,7,0.695790248108918,0.0350031014809847
0.566931159947677,2.5,-0.353714409872857,-0.337767779354593,0.823005116720676,10,0.686224526302131,0.0289377250331987
